confidence_1,timing_v4_read _First Click,timing_v4_read _Last Click,timing_v4_read _Page Submit,V4_IH,timing_V4_IH_First Click,timing_V4_IH_Last Click,timing_V4_IH_Page Submit,v4_ID,timing_v4_ID_First Click,timing_v4_ID_Last Click,timing_v4_ID_Page Submit,timing_v8_read_First Click,timing_v8_read_Last Click,timing_v8_read_Page Submit,v8_IH,timing_v8_IH_First Click,timing_v8_IH_Last Click,timing_v8_IH_Page Submit,v8_ID ,timing_v8_ID_First Click,timing_v8_ID_Last Click,timing_v8_ID_Page Submit,v3_IH,timing_v3_IH_First Click,timing_v3_IH_Last Click,timing_v3_IH_Page Submit,v3_ID,timing_v3_ID_First Click,timing_v3_ID_Last Click,timing_v3_ID_Page Submit,preference,explain
7,,,,,,,,,,,,,,,,,,,,,,,It turned violent because emotions are charged.  Someone said something that someone else misunderstood or took personally and people started screaming at each other.  One person punched someone else and other people joined in.  ,2.849,91.086,91.902,A few people in the march intended to cause chaos.  These individuals purposely and intentionally started a fight so that the march could turn violent and a peaceful resolution to the request for higher pay would be delayed.,1.357,81.7,88.257,The INVISIBLE HAND explanation,Come up with two explanations to why a march turned violent.  One intentional and one not.  
6,,,,,,,,,,,,0,0,20.735,"Some influential people seeking individually to boost their own brand began coming up with viral trends in fashion that were short-lived. As the competition between influencers increased, the trend spread until it became the state it is in now.",1.624,1.624,64.613,"Fashion companies with an interest in maximizing profit have pushed narratives that changing fashion trends within a matter of days or weeks is what's the trendy thing to do. They don't care about fast fashion or waste, they are acting purely out of self interest to generate the most profit through what is essentially planned obsolescence of their clothing",2.993,84.285,92.599,,,,,,,,,The INVISIBLE HAND explanation,Read a narrative and describe both an invisible hand and an intentional design explanation for why what happened in the narrative happened
6,0,0,50.697,"People who are on social media a lot tend to be more extremist, so they view and share a lot of controversial opinions. They did not mean to start large movements, but their personalities align with these interests. ",4.384,86.722,133.699,"Social media CEOs noticed that controversial opinions receive high attention, so they intentionally started posting these opinions in an organized campaign to get more people on their platforms.  ",3.104,88.308,114.052,,,,,,,,,,,,,,,,,,,,The INVISIBLE HAND explanation,"Read a scenario and make two inferences explaining why the scenario occurred, one with invisible hand reasoning and the other with intentional reasoning.  "
6,,,,,,,,,,,,,,,,,,,,,,,The group that was protesting became so large and there was not much communication going on. The group was in a small area and pushing each other around which caused confusion and violence to ensue.,2.958,62.238,64.206,In the protest there was one disgruntled employee who came there to cause harm to make their point. ,2.151,50.818,59.225,The INTENTIONAL DESIGN explanation,To come up with different explanations of an event.
4,21.664,29.57,30.787,People tend to pay more attention to things that go against the status quo or are controversial. These movements are likely gaining influence due to their atypical messages and beliefs. People tend to watch and spread information that attracts attention. It's unlikely that the people viewing and spreading these movements are intentionally trying to make these movements more influential.,3.332,147.743,149.14,It's possible that some high-ranking official or politician is using these movements to distract the voters/public and make them lost focus on some negative aspects of their own term in office. ,4.525,64.189,65.363,,,,,,,,,,,,,,,,,,,,The INVISIBLE HAND explanation,We were asked to read a short blurb and then give two different explanations.
6,,,,,,,,,,,,0,0,17.625,"Due to the influence of a growing number of influencers, more people are interested in fashion. This increased interest, exacerbated by a general economic boom, led to a much faster fashion trend market. ",4.562,4.562,71.268,"A fashion mogul accumulated a huge back log of inventory and decided to off load it by running a new series of sales and auctions on a much more frequent basis, prompting a large turnover of fashion items in a shorter basis as competitors replicated the strategy. ",5.559,5.559,74.376,,,,,,,,,The INVISIBLE HAND explanation,I was asked to create two types of reasons that something happened. 
7,5.374,157.132,161.372,Since social media is very popular in Gredland and Gredland lacks a robust recreational infrastructure these contrived controversial statements are gaining traction among the bored and subversive populace.,0.83,213.375,216.05,A political candidate for president of Gredland  is trying to create a discordant environment to help gain support for their contrarian agenda campaign.,6.529,240.751,240.794,,,,,,,,,,,,,,,,,,,,The INTENTIONAL DESIGN explanation,Create a invisible hand explanation and an intentional design explanation for a particular scenario.
6,,,,,,,,,,,,,,,,,,,,,,,"The factory workers planned a peaceful protest in order to draw their boss's attention to their demands, but the police showed up in the middle of the protest and started intimidating the protestors with violence. The protestors reacted with violence out of self defense.",2.808,101.618,103.082,"Factory workers in Altorid have been complaining about their low pay for years with no response. They tried a peaceful protest last year, and nothing happened. So they planned to take radical action to scare their boss into giving them a raise. They planned and encouraged workers to riot and take violent actions to draw attention to their demands.",3.354,109.748,111.24,The INVISIBLE HAND explanation,I had to provide two explanations for a scenario--an intentional design explanation and an invisible hand explanation.
5,,,,,,,,,,,,1.58,1.58,37.225,"By 2010 more people were accessing social media and reading posting from ""influencers."" The accumulation of the effect resulted in people being more aware of changes in fashion which resulted in quicker turn over of wardrobes. ",1.811,220.746,225.26,"Fashion designers identified that faster turn over of wardrobes results in increased profits. They, therefore, began maximizing advertising of the latest and greatest changes in order to encourage sales, out with the old, in with the new. ",2.065,177.421,181.805,,,,,,,,,The INTENTIONAL DESIGN explanation,Understand and give examples of invisible hand and intentional design. 
7,0,0,37.155,"With current struggles in Gredland, more people are prone to anger and voicing their opinions online. The more that conditions worsen the more politicians take advantage of this vocal minority who are fed up and blaming everything besides themselves. As people become more negative they come across more negative things on the internet.",3.158,136.997,161.246,"Social media and tech companies are purposely making sure the algorithm favors showing people the controversial, dangerous opinions of the minority. They are driven to do this because movements like this drive people to drive on their sites more and thus make them more money.",1.274,1.274,140.852,,,,,,,,,,,,,,,,,,,,The INTENTIONAL DESIGN explanation,I was asked to write an invisible hand and intentional design scenario for a vignette.
7,,,,,,,,,,,,0,0,45.802,"The increasing prevalence of home internet access and cellphones has allowed fashion-conscious consumers to share their favorite outfits in real time. Oftentimes viral trends develop around certain clothing items or accessories, when many consumers independently decide to include them in outfits. This creates demand among their friends and family and trends become amplified as more consumers make purchases. ",0.935,0.935,316.003,"Verij, a large clothing manufacturer, wanted to increase its sales. Its marketing department formed a plan to distribute eye-catching outfits to Internet influencers on a weekly schedule, followed by aggressive advertising. Young, impressionable fans of Verij-sponsored influencers became avid collectors of promoted clothing and accessories. ",1.542,5.551,244.609,,,,,,,,,The INTENTIONAL DESIGN explanation,Come up with intentional design versus invisible hand explanations for the same scenario
7,0,0,25.666,social media algorithms and political outlets receive the most interaction when radical opinions are shared. The algorithms push these opinions because they get more interaction,0.841,39.297,55.994,"social media boards benefit from these movements gaining traction and pushback, and so put them at the forefront of most peoples social media algorithm",1.675,1.675,79.049,,,,,,,,,,,,,,,,,,,,The INVISIBLE HAND explanation,give an invisible hand and intentional design explanations for a scenario
6,,,,,,,,,,,,,,,,,,,,,,,The demonstrators began peacefully but outside individuals and groups began to yell at them and throw things at them.  Some of the demonstrators became angry and frustrated and began violent actions which resulted in retaliation by the outside group.  The police were called to stop the violence.,2.441,2.441,7.271,"The leaders of the march instructed the participants to remain peaceful until outsiders gathered and began taunting them, then they told them to begin violent retaliation.  This would give them more media attention and show that they were willing to fight for higher pay.",2.563,162.476,255.82,The INVISIBLE HAND explanation,Read a scenario and write invisable hand and deliberate calculation sceniaros to explain the outcome
6,,,,,,,,,,,,0,0,19.418,"People in Jirev enjoy sharing their fashion choices on social media with other fashion conscious people. This created a bigger awareness of changing fashions and caused people to want to have the fashions they saw online. So, they would purchase wardrobes to reflect these trends at a much faster pace than they would have before. ",5.88,149.968,187.263,"Mario is the owner of a new fashion design company in Jirev. He hired models and social media influencers to market his products in themost creative, engaging, and fashionable way possible. With a couple of celebrity endorsements as well, Mario's company pushes new trends, and since their posts are often going viral, people are influenced to change their wardrobes more frequently. ",3.363,142.989,145.823,,,,,,,,,The INTENTIONAL DESIGN explanation,Read a scenario and provide invisible hand and intentional design explanations. 
6,,,,,,,,,,,,4.137,54.369,98.255,The old habit of changing wardrobes each year has precipitated due to online fashion talk and advertising. This has helped the fashion industry to sell even more clothing each year.,8.968,164.599,171.504,"Oddly this instance flows more towards intentional design, because it can be manipulated by advertising and reviews. The prior version of invisible is actually not via advertising like I said, rather online excitement over new choices.",3.227,144.198,145.846,,,,,,,,,The INTENTIONAL DESIGN explanation,To write a bit about intentional design vs invisible hand. 
7,,,,,,,,,,,,0,0,15.813,"People are influenced by other people and they trends they set, following a fashion pattern, with quick turnover than pre-2010",2.151,2.151,36.216,"The Trend Association has set a time limit on trends as to how long they stay popular, forcing fashion-conscious people to shift wardrobes multiple times.",15.388,15.388,64.497,,,,,,,,,The INTENTIONAL DESIGN explanation,invisible hand versus intentional design description
6,,,,,,,,,,,,,,,,,,,,,,,"Some protesters were extremely agitated at the actions of the factory, and felt that their voices weren't being heard in the protest. They became so agitated that they turned violent, causing a cascading effect of other protestors to become violent.",2.995,2.995,58.803,"They turned violent because of actions of a few in the crowd that had motives to disperse to the protest, and paint the Factory workers in a bad light. The few that turned violent to turn the entire crowd violent were placed there by higher ups in the Factory.",2.35,54.487,77.192,The INVISIBLE HAND explanation,"Come up with an explanation of both an invisible hand, and direct argument for why a situation happened. "
6,,,,,,,,,,,,0,0,10.062,"Fashion trends have increased because of the popularity of Social Media and Influencers. People see what influencers are wearing and the trends they are setting, which causes more interest in fashion and new trends.",3.101,3.101,73.807,Fashion trends are increasing because designers are paying social media influencers to promote their fashion. Since people want to be like these influencers they follow the fashion trends that they set.,30.368,30.368,105.843,,,,,,,,,The INVISIBLE HAND explanation,write 2 explanations on why an event occurred 
6,2.706,16.935,17.723,People are generally sick of the status quo. Phones and the internet have made it much easier for groups to coordinate and for individuals to voice their opinions so public sentiment has slowly shifted.,0.69,8.298,62.576,An enemy country (Russland) is purposefully engaging in propaganda in order to destabilize Gredland. ,0.371,34.131,40.724,,,,,,,,,,,,,,,,,,,,The INTENTIONAL DESIGN explanation,Come up with explanations for a scenario.
6,,,,,,,,,,,,,,,,,,,,,,,"The protest turned violent because of a few individuals being fed up with the police. Once a few started fighting with the police, the police started to fight the protestors indescriminately, which made more people fight back for self protection and also made people angry and fought back by destroying property. ",1.385,84.875,85.72,The police attacked the protesters to get them to fight back and look bad and turn public opinion against the protestors. ,1.914,50.843,51.489,The INVISIBLE HAND explanation,Describe a situation in terms of invisible hand vs intentional design.
6,,,,,,,,,,,,,,,,,,,,,,,"They were not intentionally trying to turn violent, however the actions of the police along with high emotions made this march a bit of a disaster.",4.433,4.433,31.674,The march was designed to be violent and they completed their task of destroying property in order for their voice to be heard.,1.563,1.563,30.697,The INVISIBLE HAND explanation,Determine whether a situation was an invisible hand or intentional hand situation.
7,,,,,,,,,,,,,,,,,,,,,,,"There may have been only a handful of potentially violent interactions between protestors and police, but once the first act of violence occurred, it caused an unintentional chain reaction of violence that only got worse over time due to mob mentality.",1.73,57.604,77.367,"The local factory superiors and the police worked together to stop this event. They planned it so that the factory worker group would have certain false individuals who are actually working on behalf of the factory owners, not the workers. These agents kickstarted the violence, knowing it will incite riots and make the situation worse. That in turn discredits the factory workers.",9.502,107.783,108.322,The INVISIBLE HAND explanation,To provide two different explanations for why an event occured based on type of causation.
6,0,0,77.266,The newest social media company has just launched a contest for people to reshare as many envioronmental stories as they can within the next 3 months in order to win an electric vehicle.  The stories must be reshared and not originally created.  The person with the most reshares wins an electric vehicle as a result the Gredland movement gains outsized influlence.,4.967,4.967,263.819,"A environmental lobbying company decided in order to change future laws it would hire individuals at Gredland to promote more stories regarding the the envioronmental threats and for each story that gets published they would recieve a payment based on the number of shares and likes, regardless of their accuracy, therefore Gredland begins  to publish these stories with more frequency increasing their overall influence.",11.986,293.17,319.849,,,,,,,,,,,,,,,,,,,,The INTENTIONAL DESIGN explanation,Provide a intentional and invisible hand explanation for a scenario
6,,,,,,,,,,,,,,,,,,,,,,,"Gradually, as people were bothered by the reasons they protested, the crowds and conversation got more emotional, and police were not helpful in quelling the heat, so it got turned up.",2.393,2.393,77.114,Some of the factory workers (and others) wanted to destroy property.,37.428,153.722,185.504,The INVISIBLE HAND explanation,Describe a fictitious situation as being intentional or orchestrated by an invisible
6,7.529,58.673,71.603,Because people may perceive that the people who have these views are people that didn't have much voice before social media.  People feel guilty and so spread the views and feel guilty if they don't.,16.534,170.966,172.106,"People see something they like and want to force other people to feel the same way, so they shame or bully people to support the politics.  The views are spread because people are afraid to voice against or ignore the controversial views.  The original spreaders know this and use the threat of  negative publicity.",20.769,131.215,132.349,,,,,,,,,,,,,,,,,,,,The INTENTIONAL DESIGN explanation,How views on social media become popular and spread.  We were shown two main ways that this happens and also asked to give our own examples.
5,,,,,,,,,,,,14.673,25.336,27.751,We see fashion trends shifting in this way simply because of how modern society is advancing. The pre-2010s landscape ceased to be suitable for the peoples new preferences for constant novelty. All leading to a landscape whereas viral trends pop in and out constantly.,13.727,71.086,175.302,They're changing faster today  as we see this collective conscious created and popularized by fashion conscious individuals with influence. Which forces a landscape of trends coming in and out competitively,17.427,328.651,331.755,,,,,,,,,The INVISIBLE HAND explanation,take a vignette and answer a question about it in either an invisible hand type explanation or an intent type one
7,,,,,,,,,,,,,,,,,,,,,,,"The protesters were all heated by their grievances for higher pay as well as bouncing this anger off of one another. As time went on, this collective anger came to a head and protesters began resorting to violent means.",3.567,61.133,88.747,"While many of the protesters intended to be peaceful, authorities began to antagonize the protesters. They crammed the protesters together on purpose and shot rubber balls into the peaceful crowd. The authorities wanted the protest to turn violent so they could disperse it, so they stirred the pot themselves.",2.003,2.003,100.978,The INVISIBLE HAND explanation,Explain how an event turned violent under 2 frames
6,0,0,17.933,"People tend to share things they agree with, and this creates more and more polarized bubbles where people can choose to interact with people more and more like themselves and limit interactions with the Other. This leads to a feedback loop that gives disproportionately high attention to extreme voices.",3.678,3.678,69.05,There's one large media corporation that needs to have the most extreme voices heard in order to polarize the population. They need people on both sides to hate one another rather than realizing they're more similar than they think and can then realize they're being manipulated.,3.455,3.455,72.428,,,,,,,,,,,,,,,,,,,,The INVISIBLE HAND explanation,intentional vs invisible hand
7,,,,,,,,,,,,0,0,33.838,The Jones family always has the latest fashion and the neighbors wish to keep up to satisfy their desire to feel superior. This sparks the rest of the land to try to compete. ,3.714,68.146,95.767,Designers wish to make more money on people's desire to be better than others. This is narcissism and is easy to exploit. ,22.171,112.731,135.158,,,,,,,,,The INTENTIONAL DESIGN explanation,to explaine the invisible hand vs intentional design theory relative to situations
6,,,,,,,,,,,,,,,,,,,,,,,"Oops, I think I wrote about intentional design in the last vignette. So I'll write about invisible hand. The protests turned violent because demonstrators were frustrated and fed up with no one listening to their demands. The emotionally charged crowd let their anger spill out, leading the police to disperse them.",5.34,5.34,88.295,"The protests turned violent because certain anti-worker actors entered the peaceful demonstration disguised as workers, and initiated violence. They did this to discredit the workers' movement. The violence turned public sentiment against the factory workers, and gave justification to police to disperse the demonstrators.",4.619,4.619,81.841,The INTENTIONAL DESIGN explanation,come up with explanations for events
