1_v4_preference,2_v4_preference,3_v4_preference,4_v4_preference,5_v4_preference,6_v4_preference,7_v4_preference,8_v4_preference,9_v4_preference,10_v4_preference,11_v4_preference,12_v4_preference,13_v4_preference,14_v4_preference,15_v4_preference,16_v4_preference,17_v4_preference,18_v4_preference,19_v4_preference,20_v4_preference,21_v4_preference,22_v4_preference,23_v4_preference,24_v4_preference,25_v4_preference,26_v4_preference,27_v4_preference,28_v4_preference,29_v4_preference,30_v4_preference,31_v4_preference,32_v4_preference,33_v4_preference,34_v4_preference,35_v4_preference,36_v4_preference,37_v4_preference,38_v4_preference,39_v4_preference,40_v4_preference,41_v4_preference,42_v4_preference,43_v4_preference,44_v4_preference,45_v4_preference,46_v4_preference,47_v4_preference,48_v4_preference,49_v4_preference,50_v4_preference,51_v4_preference,52_v4_preference,53_v4_preference,54_v4_preference,55_v4_preference,56_v4_preference,57_v4_preference,58_v4_preference,59_v4_preference,60_v4_preference,1_v8_preference,2_v8_preference,3_v8_preference,4_v8_preference,5_v8_preference,6_v8_preference,7_v8_preference,8_v8_preference,9_v8_preference,10_v8_preference,11_v8_preference,12_v8_preference,13_v8_preference,14_v8_preference,15_v8_preference,16_v8_preference,17_v8_preference,18_v8_preference,19_v8_preference,20_v8_preference,21_v8_preference,22_v8_preference,23_v8_preference,24_v8_preference,25_v8_preference,26_v8_preference,27_v8_preference,28_v8_preference,29_v8_preference,30_v8_preference,31_v8_preference,32_v8_preference,33_v8_preference,34_v8_preference,35_v8_preference,36_v8_preference,37_v8_preference,38_v8_preference,39_v8_preference,40_v8_preference,41_v8_preference,42_v8_preference,43_v8_preference,44_v8_preference,45_v8_preference,46_v8_preference,47_v8_preference,48_v8_preference,49_v8_preference,50_v8_preference,51_v8_preference,52_v8_preference,53_v8_preference,54_v8_preference,55_v8_preference,56_v8_preference,57_v8_preference,58_v8_preference,59_v8_preference,60_v8_preference,1_v3_preference,2_v3_preference,3_v3_preference,4_v3_preference,5_v3_preference,6_v3_preference,7_v3_preference,8_v3_preference,9_v3_preference,10_v3_preference,11_v3_preference,12_v3_preference,13_v3_preference,14_v3_preference,15_v3_preference,16_v3_preference,17_v3_preference,18_v3_preference,19_v3_preference,20_v3_preference,21_v3_preference,22_v3_preference,23_v3_preference,24_v3_preference,25_v3_preference,26_v3_preference,27_v3_preference,28_v3_preference,29_v3_preference,30_v3_preference,31_v3_preference,32_v3_preference,33_v3_preference,34_v3_preference,35_v3_preference,36_v3_preference,37_v3_preference,38_v3_preference,39_v3_preference,40_v3_preference,41_v3_preference,42_v3_preference,43_v3_preference,44_v3_preference,45_v3_preference,46_v3_preference,47_v3_preference,48_v3_preference,49_v3_preference,50_v3_preference,51_v3_preference,52_v3_preference,53_v3_preference,54_v3_preference,55_v3_preference,56_v3_preference,57_v3_preference,58_v3_preference,59_v3_preference,60_v3_preference,explain 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I am asked to choose between two answers and determined which is more appropriate answer for the question about the increase in fashion turnover.
1,2,2,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,1,2,1,1,1,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"After reading the paragraph, i was asked to evaluate the explaination the people gave after reading that paragraph and how they gained influence."
1,2,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,1,1,1,1,2,1,2,2,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social media and why controversy was trending
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,1,1,1,2,1,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,1,1,1,Asked to pick the more likely choice to the question asked after the vingette
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,I was asked to read a vignette and choose which statement best represents the cause of the incident in the story.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,2,1,1,1,2,1,1,1,2,1,1,Evaluate the different explanation-pairs for what led to violent protest.
1,1,2,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,1,1,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Differentiate between two statements that ideated on the reason that this social media craze happened that amplified minority voices.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,I was asked to choose between two different peoples reasoning for why the protesters got violent.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,2,2,2,1,1,1,2,1,2,1,1,2,2,2,1,2,1,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,asked to compare explanations people gave ragarding the vignette and the qestion
1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,2,1,1,2,2,1,2,1,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,1,2,2,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asked to choose which explanation was more likely true between two explanations of a situation 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,I was asked to choose which explanation for an event was better.
1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deciding which explanation makes more sense to answer a question
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,I was asked to pick which of two explanations was more likely why the protest turned violent
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,I was asked to choose which scenario was more likely 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,1,2,1,1,1,2,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,2,Pick the explanation that best fit the vignette and question out of two.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,2,Decide which of 2 explanations were most logical.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,2,1,2,1,2,1,1,1,2,2,1,2,2,1,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to select the more plausible explanation for a given vinaigrette. The vinaigrette claims that fashion trends are more frequent nowadays and people are changing their wardrobes more often.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choose the better explanation between two options.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,2,1,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Choose the most likely reason for the fashion change
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,2,2,2,2,1,2,1,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,2,2,1,Pick which reason more agreeable to me
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to pick an argument that was more convincing 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,1,2,2,2,1,2,2,2,1,1,2,1,1,2,2,1,Choose the best explanation between 2 explanations of why a protest turned violent. 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,determine which scenario was more likely to have produced the given outcome regarding fashion trends.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,I was asked to choose the better explanation for why fashion trends change so frequently now.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,1,1,1,1,1,2,1,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,read vignettes relating to the frequent change in fashion trends and decide which option best outlines the reason for the change since 2010
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,2,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,2,1,1,2,2,2,2,1,1,2,1,2,2,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read a vignette and answer to the vignette and choose which option was more likely related to that answer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,1,2,2,1,1,2,2,1,2,1,1,2,2,1,2,1,2,2,2,2,2,1,2,1,2,2,2,1,2,1,2,1,1,1,2,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Decide which explanation was more plausible.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,2,2,1,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,1,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,2,2,1,Evaluate which one of two scenarios was the more likely explanation for a protest march turning violent.
1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Read the paragraph on the people of Gredland and then pick which follow up description was more fitting for what was written.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,1,2,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,1,2,1,2,1,2,2,2,2,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Judge others' theories about why fashions change so often in Jirev.
1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick the answer to an explanation that seems to make the most sense.
